model loaded successfully
/scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas

image 2/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-47-45.jpg: 1088x1920 1 Porca sextavada 18.90mm, 80.8ms
image 3/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-47-46.jpg: 1088x1920 1 Porca sextavada 18.90mm, 80.8ms
image 4/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-47-48.jpg: 1088x1920 1 Porca sextavada 18.90mm, 81.1ms
image 5/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-47-50.jpg: 1088x1920 1 Porca sextavada 18.90mm, 81.4ms
image 6/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-05.jpg: 1088x1920 1 Porca sextavada 18.90mm, 81.1ms
image 7/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-09.jpg: 1088x1920 1 Porca sextavada 18.90mm, 82.1ms
image 8/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-11.jpg: 1088x1920 1 Porca sextavada 18.90mm, 82.8ms
image 9/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-12.jpg: 1088x1920 1 Porca sextavada 18.90mm, 82.1ms
image 10/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-16.jpg: 1088x1920 1 Porca sextavada 18.90mm, 82.6ms
image 11/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-20.jpg: 1088x1920 1 Porca sextavada 8.00mm, 82.8ms
image 12/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-21.jpg: 1088x1920 1 Porca sextavada 8.00mm, 81.2ms
image 13/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-23.jpg: 1088x1920 1 Porca sextavada 8.00mm, 80.7ms
image 14/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-24.jpg: 1088x1920 1 Porca sextavada 8.00mm, 80.8ms
image 15/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-26.jpg: 1088x1920 1 Porca sextavada 8.00mm, 80.4ms
image 16/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-30.jpg: 1088x1920 1 Porca sextavada auto travante 5.40mm, 81.1ms
image 17/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-32.jpg: 1088x1920 1 Porca sextavada 6.25mm, 81.2ms
image 18/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-33.jpg: 1088x1920 1 Porca sextavada 6.25mm, 82.0ms
image 19/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-36.jpg: 1088x1920 1 Porca sextavada 6.25mm, 82.6ms
image 20/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-37.jpg: 1088x1920 1 Porca sextavada 6.25mm, 81.3ms
image 21/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-48.jpg: 1088x1920 1 Porca sextavada estampada -recortada-, 82.0ms
image 22/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-50.jpg: 1088x1920 1 Porca sextavada estampada -recortada-, 83.0ms
image 23/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-52.jpg: 1088x1920 1 Porca sextavada estampada -recortada-, 81.6ms
image 24/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-54.jpg: 1088x1920 1 Porca sextavada estampada -recortada-, 80.7ms
image 25/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-48-57.jpg: 1088x1920 1 Porca sextavada estampada -recortada-, 80.7ms
image 26/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-04.jpg: 1088x1920 1 Porca sextavada auto travante 9.90mm, 80.9ms
image 27/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-07.jpg: 1088x1920 1 Porca sextavada auto travante 9.90mm, 81.3ms
image 28/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-09.jpg: 1088x1920 1 Arruela de pressao, 80.5ms
image 29/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-11.jpg: 1088x1920 1 Porca sextavada auto travante 9.90mm, 81.2ms
image 30/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-16.jpg: 1088x1920 1 Porca sextavada auto travante 9.90mm, 80.9ms
image 31/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-24.jpg: 1088x1920 1 Porca sextavada 6.25mm, 81.1ms
image 32/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-26.jpg: 1088x1920 1 Porca sextavada auto travante 5.40mm, 81.0ms
image 33/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-27.jpg: 1088x1920 1 Porca sextavada auto travante 5.40mm, 81.0ms
image 34/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-30.jpg: 1088x1920 1 Porca sextavada auto travante 5.40mm, 81.3ms
image 35/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-32.jpg: 1088x1920 1 Porca sextavada auto travante 5.40mm, 82.2ms
image 36/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-39.jpg: 1088x1920 1 Porca calota 19.00mm, 82.0ms
image 37/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-41.jpg: 1088x1920 1 Porca calota 19.00mm, 82.5ms
image 38/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-44.jpg: 1088x1920 1 Porca calota 19.00mm, 82.8ms
image 39/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-46.jpg: 1088x1920 1 Porca calota 19.00mm, 81.9ms
image 40/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-48.jpg: 1088x1920 1 Porca calota 19.00mm, 81.3ms
image 41/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-53.jpg: 1088x1920 1 Porca calota 13.30mm, 80.7ms
image 42/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-56.jpg: 1088x1920 1 Porca calota 13.30mm, 80.9ms
image 43/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-49-59.jpg: 1088x1920 1 Porca calota 13.30mm, 80.7ms
image 44/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-02.jpg: 1088x1920 1 Porca calota 13.30mm, 81.1ms
image 45/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-04.jpg: 1088x1920 1 Porca calota 13.30mm, 81.2ms
image 46/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-10.jpg: 1088x1920 1 Porca borboleta 37.60mm, 82.0ms
image 47/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-12.jpg: 1088x1920 1 Porca borboleta 37.60mm, 82.6ms
image 48/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-13.jpg: 1088x1920 1 Porca borboleta 37.60mm, 82.7ms
image 49/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-15.jpg: 1088x1920 1 Porca borboleta 37.60mm, 81.7ms
image 50/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-18.jpg: 1088x1920 1 Porca borboleta 37.60mm, 83.7ms
image 51/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-28.jpg: 1088x1920 1 Porca borboleta 22.80mm, 83.0ms
image 52/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-30.jpg: 1088x1920 1 Porca borboleta 22.80mm, 80.9ms
image 53/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-33.jpg: 1088x1920 1 Porca borboleta 22.80mm, 81.0ms
image 54/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-34.jpg: 1088x1920 1 Porca borboleta 22.80mm, 80.7ms
image 55/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-36.jpg: 1088x1920 1 Porca borboleta 22.80mm, 80.6ms
image 56/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-40.jpg: 1088x1920 1 Porca borboleta 22.50mm, 81.0ms
image 57/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-42.jpg: 1088x1920 1 Porca borboleta 22.50mm, 81.3ms
image 58/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-50-44.jpg: 1088x1920 1 Porca borboleta 22.50mm, 81.8ms
image 59/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-01.jpg: 1088x1920 1 Porca borboleta 22.50mm, 82.4ms
image 60/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-06.jpg: 1088x1920 1 Porca borboleta 22.50mm, 81.8ms
image 61/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-10.jpg: 1088x1920 1 Porca dobradica, 81.9ms
image 62/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-11.jpg: 1088x1920 1 Porca dobradica, 83.3ms
image 63/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-13.jpg: 1088x1920 1 Porca dobradica, 81.6ms
image 64/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-15.jpg: 1088x1920 1 Porca dobradica, 81.7ms
